Name,State,"Surface elevation (m AA)",Surface area,Max. depth
Achensee,Tyrol,"929 m (3,048 ft)",6.8 km2 (2.6 sq mi),133 m (436 ft)
Almsee,Upper Austria,"487 m (1,598 ft)",0.85 km2 (0.33 sq mi),5 m (16 ft)
Altausseer See,Styria,"712 m (2,336 ft)",2.1 km2 (0.81 sq mi),53 m (174 ft)
Old Danube,Vienna,"157 m (515 ft)",1.7 km2 (0.66 sq mi),7 m (23 ft)
Attersee,Upper Austria,"469 m (1,539 ft)",46.2 km2 (17.8 sq mi),171 m (561 ft)
Bodensee,Vorarlberg,"396 m (1,299 ft)","539 km2 (208 sq mi)",254 m (833 ft)
Erlaufsee,Lower Austria,"835 m (2,740 ft)",0.72 km2 (0.28 sq mi),38 m (125 ft)
Faaker See,Carinthia,"555 m (1,821 ft)",2.2 km2 (0.85 sq mi),30 m (98 ft)
Fuschlsee,Salzburg,"663 m (2,175 ft)",2.7 km2 (1.0 sq mi),67 m (220 ft)
Grabensee,Salzburg,"503 m (1,650 ft)",1.3 km2 (0.50 sq mi),14 m (46 ft)
Grundlsee,Styria,"708 m (2,323 ft)",4.1 km2 (1.6 sq mi),64 m (210 ft)
Haldensee,Tyrol,"1,124 m (3,688 ft)",0.73 km2 (0.28 sq mi),22 m (72 ft)
Hallstaetter See,Upper Austria,"508 m (1,667 ft)",8.6 km2 (3.3 sq mi),125 m (410 ft)
Heiterwanger See,Tyrol,"976 m (3,202 ft)",1.4 km2 (0.54 sq mi),60 m (200 ft)
Hintersee,Salzburg,"685 m (2,247 ft)",0.82 km2 (0.32 sq mi),22 m (72 ft)
Hintersteiner See,Tyrol,"882 m (2,894 ft)",0.55 km2 (0.21 sq mi),35 m (115 ft)
"Illmitzer Zicksee",Burgenland,116 m (381 ft),1.2 km2 (0.46 sq mi),1 m (3.3 ft)
Irrsee,Upper Austria,"553 m (1,814 ft)",3.6 km2 (1.4 sq mi),32 m (105 ft)
Keutschacher See,Carinthia,"506 m (1,660 ft)",1.3 km2 (0.50 sq mi),16 m (52 ft)
Klopeiner See,Carinthia,"446 m (1,463 ft)",1.1 km2 (0.42 sq mi),48 m (157 ft)
Lange Lacke,Burgenland,116 m (381 ft),1.5 km2 (0.58 sq mi),1 m (3.3 ft)
Laengsee,Carinthia,"550 m (1,800 ft)",0.75 km2 (0.29 sq mi),21 m (69 ft)
Lunzer See,Lower Austria,"608 m (1,995 ft)",0.68 km2 (0.26 sq mi),34 m (112 ft)
Mattsee,Salzburg,"503 m (1,650 ft)",3.6 km2 (1.4 sq mi),42 m (138 ft)
Millstaetter See,Carinthia,"588 m (1,929 ft)",13.3 km2 (5.1 sq mi),141 m (463 ft)
Mondsee,Upper Austria,"481 m (1,578 ft)",13.8 km2 (5.3 sq mi),68 m (223 ft)
Neufelder See,Burgenland,223 m (732 ft),1.8 km2 (0.69 sq mi),23 m (75 ft)
"Neusiedler See",Burgenland,"115 m (377 ft)","315 km2 (122 sq mi)",2 m (6.6 ft)
Obertrumer See,Salzburg,"503 m (1,650 ft)",4.9 km2 (1.9 sq mi),36 m (118 ft)
Offensee,Upper Austria,"649 m (2,129 ft)",0.55 km2 (0.21 sq mi),38 m (125 ft)
Ossiacher See,Carinthia,"502 m (1,647 ft)",10.8 km2 (4.2 sq mi),52 m (171 ft)
Plansee,Tyrol,"976 m (3,202 ft)",2.9 km2 (1.1 sq mi),77 m (253 ft)
Pressegger See,Carinthia,"560 m (1,840 ft)",0.55 km2 (0.21 sq mi),14 m (46 ft)
Toplitzsee,Styria,"718 m (2,356 ft)",0.54 km2 (0.21 sq mi),103 m (338 ft)
Traunsee,Upper Austria,"423 m (1,388 ft)",24.4 km2 (9.4 sq mi),191 m (627 ft)
Vilsalpsee,Tyrol,"1,165 m (3,822 ft)",0.51 km2 (0.20 sq mi),30 m (98 ft)
Vorderer Gosausee,Upper Austria,"933 m (3,061 ft)",0.58 km2 (0.22 sq mi),69 m (226 ft)
Walchsee,Tyrol,"655 m (2,149 ft)",0.95 km2 (0.37 sq mi),21 m (69 ft)
Wallersee,Salzburg,"505 m (1,657 ft)",6.1 km2 (2.4 sq mi),23 m (75 ft)
Weissensee,Carinthia,"929 m (3,048 ft)",6.5 km2 (2.5 sq mi),99 m (325 ft)
Wolfgangsee,"Upper Austria","538 m (1,765 ft)",12.8 km2 (4.9 sq mi),113 m (371 ft)
Woerthersee,Carinthia,"440 m (1,440 ft)",19.4 km2 (7.5 sq mi),85 m (279 ft)
Zeller See,Salzburg,"750 m (2,460 ft)",4.6 km2 (1.8 sq mi),68 m (223 ft)
Zicksee,Burgenland,116 m (381 ft),1.2 km2 (0.46 sq mi),1 m (3.3 ft)
